name,condition,conf_clear,conf_adverse,conf_drop_pct,ent_clear,ent_adverse,ent_rise,kl,mean_iou_adv,iou_adv_c0,iou_adv_c1,iou_adv_c2,iou_adv_c3,iou_adv_c4,iou_adv_c5,iou_adv_c6,iou_adv_c7,iou_adv_c8,iou_adv_c9,iou_adv_c10,iou_adv_c11,iou_adv_c12,iou_adv_c13,iou_adv_c14,iou_adv_c15,iou_adv_c16,iou_adv_c17,iou_adv_c18
GP010476_frame_000114,fog,0.9424421787261963,0.9375171661376953,0.005225798088642039,0.1456855684518814,0.17739923298358917,0.031713664531707764,2.8734874725341797,0.5721035003662109,0.962904155254364,0.3932057023048401,0.8786939978599548,0.0,,0.6358630657196045,0.0,0.3757668733596802,0.8987795114517212,0.846341609954834,0.9537007808685303,,,0.9199865460395813,0.0,,,,
GP010476_frame_000242,fog,0.9670363664627075,0.9317713975906372,0.036467055149533203,0.09676261246204376,0.20287932455539703,0.10611671209335327,3.510969400405884,0.27765071392059326,0.8939196467399597,0.0,0.0,0.0,0.44615113735198975,0.0,0.0,0.2450415939092636,0.0,0.0,0.9917261004447937,0.0,,0.6562235951423645,0.6540478467941284,,,,
GP010476_frame_000073,fog,0.9544196724891663,0.9556339979171753,-0.0012723180905511314,0.12353355437517166,0.119300976395607,-0.004232577979564667,3.6602799892425537,0.4960343837738037,0.8313969373703003,0.7237581014633179,0.8822886347770691,0.0,0.14666371047496796,0.2730787694454193,0.6106816530227661,0.7429272532463074,0.8968885540962219,0.004091174807399511,0.9865993857383728,0.0,,0.8461077213287354,,,,0.0,
GP010476_frame_000131,fog,0.9469855427742004,0.9486013054847717,-0.0017062168539297155,0.14419643580913544,0.14183010160923004,-0.0023663341999053955,3.489108085632324,0.5143670439720154,0.9481953978538513,0.33139392733573914,0.7462608814239502,0.17029404640197754,0.0,0.5464276075363159,,0.0,0.7182815074920654,0.8315609097480774,0.9824032187461853,,,0.8975867033004761,0.0,,,,
GP010476_frame_000018,fog,0.9229012727737427,0.9446492791175842,-0.023564824049738878,0.19832780957221985,0.1487119346857071,-0.049615874886512756,4.474874019622803,0.5897735953330994,0.9688037633895874,0.8035426735877991,0.789970874786377,,0.28424036502838135,0.4867776036262512,0.0,0.24111014604568481,0.8655716180801392,0.20130474865436554,0.935987114906311,,,0.9102004170417786,,,,,
GP010476_frame_000078,fog,0.9407341480255127,0.9444397687911987,-0.003939073258978589,0.15582342445850372,0.14887040853500366,-0.006953015923500061,4.029267311096191,0.602928102016449,0.9461462497711182,0.8547067046165466,0.8755747079849243,0.0,0.08175629377365112,0.3489374816417694,,0.5958506464958191,0.8614060282707214,0.5543716549873352,0.9877287745475769,0.20532742142677307,,0.9233313202857971,,,,,
GP010476_frame_000095,fog,0.9364609122276306,0.9337194561958313,0.002927464421342865,0.17630645632743835,0.177592471241951,0.0012860149145126343,2.3432936668395996,0.5511900782585144,0.9470473527908325,0.9225459098815918,0.6257568001747131,0.0,0.0,0.5119759440422058,0.4924471378326416,0.5634877681732178,0.9076311588287354,0.3404131233692169,0.9561744332313538,,,0.8979912996292114,,,,,0.0
GP010476_frame_000161,fog,0.9682663679122925,0.95357745885849,0.01517031819846278,0.08693687617778778,0.13295912742614746,0.04602225124835968,2.1021668910980225,0.630392849445343,0.8769402503967285,0.6504703760147095,0.04484967887401581,0.8957998156547546,0.0,0.7137824296951294,0.7866284251213074,0.746075451374054,0.9169783592224121,,0.9665692448616028,0.0,,0.9666208028793335,,,,,
GP010476_frame_000125,fog,0.9375024437904358,0.9272453784942627,0.010940841012951528,0.1648387908935547,0.19576676189899445,0.03092797100543976,3.0072450637817383,0.45086538791656494,0.9734988212585449,0.4287480115890503,0.7895689606666565,,0.0,0.3628755509853363,,0.0,0.7518306970596313,0.7017845511436462,0.9253050088882446,0.6038461327552795,,0.3237924873828888,0.0,,,,0.0
GP010476_frame_000137,fog,0.9250212907791138,0.9135004878044128,0.012454635331097077,0.20056520402431488,0.2246754914522171,0.02411028742790222,3.518009662628174,0.4019543528556824,0.9353753328323364,0.24337908625602722,0.6291208863258362,0.0,,0.31620046496391296,0.0,0.0,0.7832456827163696,0.7387057542800903,0.9521030783653259,,,0.6272760629653931,0.0,,0.0,,
GP010476_frame_000022,fog,0.9576393961906433,0.9513388872146606,0.006579208139570213,0.11743000149726868,0.13128824532032013,0.013858243823051453,4.581944942474365,0.6629657745361328,0.9202119708061218,0.6459006071090698,0.8736773729324341,,,0.2634553909301758,,0.0,0.9154966473579407,0.47643548250198364,0.9751978516578674,,,0.8963167071342468,,,,,
GP010476_frame_000010,fog,0.9656696319580078,0.9587512612342834,0.0071643245506781816,0.09795830398797989,0.11222206056118011,0.014263756573200226,4.269556045532227,0.4220455586910248,0.8611232042312622,0.1598736196756363,0.8987061381340027,0.0,0.16862601041793823,0.0885220617055893,0.22478386759757996,0.0,0.7615180015563965,0.0,0.9795516729354858,,,0.9218421578407288,,,,,
GP010476_frame_000255,fog,0.9626621603965759,0.9442604780197144,0.019115410309808747,0.093269482254982,0.17108501493930817,0.07781553268432617,3.0545763969421387,0.44123876094818115,0.8898441791534424,0.0,0.7119093537330627,0.27807506918907166,0.32978230714797974,0.10742738097906113,0.4411078691482544,0.20985974371433258,0.8621748089790344,0.0,0.9930875301361084,,,0.9128360748291016,0.0,,,,
GP010476_frame_000006,fog,0.9712059497833252,0.9529924392700195,0.018753499533064103,0.08178659528493881,0.12559539079666138,0.043808795511722565,3.3871026039123535,0.4108402132987976,0.882210373878479,0.3859439194202423,0.8949025273323059,0.0,,0.45246416330337524,0.11594203114509583,0.0,0.781851589679718,0.020486148074269295,0.9849879741668701,,,0.8218684196472168,0.0002657454169820994,,,0.0,
GP010476_frame_000001,fog,0.9665203094482422,0.9502866864204407,0.01679594593217534,0.09215104579925537,0.13353051245212555,0.04137946665287018,3.252631425857544,0.5859521627426147,0.9579074382781982,0.7833603620529175,0.835084080696106,0.4304227828979492,,0.42375993728637695,0.3220014274120331,,0.781066358089447,0.0,0.9840868711471558,,,0.8930445313453674,,0.03474012762308121,,,
GP010476_frame_000108,fog,0.9600143432617188,0.9390009641647339,0.02188860929588227,0.10857751965522766,0.15972444415092468,0.05114692449569702,3.4078240394592285,0.5756130814552307,0.9729154706001282,0.9455421566963196,0.7430208325386047,0.0,0.0,0.5672526955604553,0.0,0.6280712485313416,0.7716339826583862,0.3908252418041229,0.9504315853118896,,,0.937663733959198,,,,,
